Latitude,Longitude,EV-releasing microbes,Ecosystem,Relative abundance
81.36,-16.39,EV-releasing microbes,terrestrial,29.43333333
59.383928,18.180603,EV-releasing microbes,seawater,46.69285714
54.18286,7.888838,EV-releasing microbes,seawater,12.36046512
53.143262,13.028094,EV-releasing microbes,freshwater,3.891666667
53.143262,13.028094,EV-releasing microbes,freshwater,28.43125
52.211944,2.317222,EV-releasing microbes,seawater,4.683333333
52.16,14.61,EV-releasing microbes,terrestrial,28.825
52.05,12.66,EV-releasing microbes,terrestrial,33.50333333
51.761944,1.267222,EV-releasing microbes,seawater,6.6625
51.45,2.61,EV-releasing microbes,seawater,8.125
51.33,3.13,EV-releasing microbes,seawater,2.2
51.22,2.86,EV-releasing microbes,seawater,27.2
51.16,2.71,EV-releasing microbes,seawater,4.9
48.378072,-4.489611,EV-releasing microbes,seawater,8.823684211
48.342942,-4.501747,EV-releasing microbes,seawater,27.625
46.49,9.93,EV-releasing microbes,terrestrial,29.22777778
45.8,126.53,EV-releasing microbes,terrestrial,46.1
45.492694,-61.537556,EV-releasing microbes,terrestrial,24.72
45.456833,-63.105583,EV-releasing microbes,terrestrial,28.4
45.250417,-63.346361,EV-releasing microbes,terrestrial,24.42
45.095147,13.635108,EV-releasing microbes,seawater,1.45
45.055806,-64.841,EV-releasing microbes,terrestrial,27.92
44.529359,87.57329,EV-releasing microbes,freshwater,6.8
44.529359,87.57329,EV-releasing microbes,freshwater,22.55
44.363333,85.979722,EV-releasing microbes,terrestrial,15.93333333
44.218631,87.638969,EV-releasing microbes,freshwater,53.7125
44.198205,87.634335,EV-releasing microbes,freshwater,57.38333333
44.121972,87.569099,EV-releasing microbes,freshwater,56.35
43.658333,87.607037,EV-releasing microbes,freshwater,44.85714286
43.491984,87.443921,EV-releasing microbes,freshwater,51.78333333
43.4072,7.115,EV-releasing microbes,freshwater,40.525
43.39347,7.10844,EV-releasing microbes,seawater,3.25
43.3692,7.08595,EV-releasing microbes,seawater,11.85
43.23163,4.48356,EV-releasing microbes,seawater,3.166666667
43.231449,87.136817,EV-releasing microbes,freshwater,50.17
43.20074,5.19014,EV-releasing microbes,seawater,1.5
43.17642,5.22098,EV-releasing microbes,seawater,1.025
43.15153,6.42581,EV-releasing microbes,seawater,2.228571429
43.13418,5.20146,EV-releasing microbes,seawater,2.99
43.11384,4.52899,EV-releasing microbes,seawater,1.016666667
43.1054,5.4035,EV-releasing microbes,seawater,0
43.103983,5.980304,EV-releasing microbes,seawater,1.8
43.07082,5.5585,EV-releasing microbes,seawater,5
43.06063,6.11548,EV-releasing microbes,seawater,2.125
43.0559,5.59855,EV-releasing microbes,seawater,5.15
43.0206,144.8367,EV-releasing microbes,seawater,2.675
43.00123,6.25321,EV-releasing microbes,seawater,4.175
42.58075,8.725783,EV-releasing microbes,seawater,12.525
42.468756,3.169463,EV-releasing microbes,seawater,10.39404762
42.4245,3.5678,EV-releasing microbes,seawater,7.629411765
42.288834,-88.366064,EV-releasing microbes,freshwater,42.575
42.0220009,-87.710167,EV-releasing microbes,freshwater,30.425
42.021587,-87.710179,EV-releasing microbes,freshwater,19.4
42.018941,-87.936844,EV-releasing microbes,freshwater,60.2
42.004549,-87.710654,EV-releasing microbes,freshwater,48.025
41.999273,-87.779868,EV-releasing microbes,freshwater,46.1
41.998598,-87.657555,EV-releasing microbes,freshwater,20.83333333
41.966378,-88.164977,EV-releasing microbes,freshwater,22.26666667
41.882115,-87.958971,EV-releasing microbes,freshwater,32.7
41.844672,-88.145531,EV-releasing microbes,freshwater,50.0875
41.697051,-88.160473,EV-releasing microbes,freshwater,54.525
41.500622,-87.465937,EV-releasing microbes,freshwater,42.4125
40.509228,-74.727287,EV-releasing microbes,freshwater,86.18125
39.491583,2.735833,EV-releasing microbes,seawater,4.216666667
39.01,117.33,EV-releasing microbes,freshwater,40.67
36.634468,120.114023,EV-releasing microbes,freshwater,7.4
36.617688,120.110137,EV-releasing microbes,freshwater,10.65
36.612376,120.34047,EV-releasing microbes,freshwater,6.6
36.604262,120.344227,EV-releasing microbes,freshwater,10.7
36.60397,120.335842,EV-releasing microbes,freshwater,13.6
36.600454,120.121218,EV-releasing microbes,freshwater,7.3
36.562907,121.003524,EV-releasing microbes,seawater,26.1
36.557743,121.019305,EV-releasing microbes,seawater,18.3
36.5,120.416667,EV-releasing microbes,seawater,12.82
36.292587,120.813948,EV-releasing microbes,freshwater,42.75
36.288919,120.836356,EV-releasing microbes,freshwater,44.05
36.283179,120.858486,EV-releasing microbes,freshwater,34.35
36.277553,120.877543,EV-releasing microbes,freshwater,34.45
36.270749,120.122788,EV-releasing microbes,freshwater,35.6
36.265904,120.121931,EV-releasing microbes,freshwater,32.8
36.239872,120.116313,EV-releasing microbes,freshwater,31.9
36.233466,120.331648,EV-releasing microbes,freshwater,16.7
36.227527,120.328322,EV-releasing microbes,freshwater,47.6
36.22475,120.326009,EV-releasing microbes,freshwater,36.2
36.219842,120.799381,EV-releasing microbes,freshwater,23.95
36.219773,120.777518,EV-releasing microbes,freshwater,41.3
36.205428,120.332092,EV-releasing microbes,seawater,11.55
36.183058,120.335509,EV-releasing microbes,seawater,19.15
36.155508,120.162573,EV-releasing microbes,seawater,89.85
36.134055,120.186076,EV-releasing microbes,seawater,36
35.95,120.266667,EV-releasing microbes,seawater,25.85
35.549128,24.061855,EV-releasing microbes,seawater,22.26818182
35.01,10.3,EV-releasing microbes,seawater,33.575
32.06,118.8,EV-releasing microbes,terrestrial,40.56086957
29.81,121.87,EV-releasing microbes,terrestrial,35.56166667
24.86,102.84,EV-releasing microbes,terrestrial,34.01
16.8864,-24.9908,EV-releasing microbes,seawater,2.825
-29.9663,-71.3531,EV-releasing microbes,seawater,3.1625
-33.9097,18.4194,EV-releasing microbes,seawater,4.275
